============================
on the qwerty layout
0.89 : sot wot
1.0 : sot air
1.0 : quiet worry
1.0 : canvasers canvassers
1.0 : chorals corals
1.0 : candours candors
0.85 : cash cay
0.85 : cash cam
1.0 : favouring favoring
0.8 : ditties cities
1.0 : dumpier dumper
1.0 : retinues reinjures
0.81 : pygmyish pygmyism
0.83 : dozy cozy
1.0 : coring choiring
1.0 : coring choring
1.0 : coring courting
0.81 : whales shales
1.0 : finale finagle
1.0 : tieing tiering
0.81 : barons garrons
1.0 : barons baryons
1.0 : subpenas subpoenas
0.85 : sue rout
0.81 : sue ays
0.85 : sue ryot
1.0 : sue sure
0.85 : sue aahs
0.81 : sue fog
0.85 : sue root
0.85 : sue typy
0.85 : sue riot
1.0 : sum din
0.87 : toed gled
0.81 : toed gored
1.0 : toed toted
1.0 : toed toyed
1.0 : toed tooted
1.0 : parings partings
1.0 : jin sex
1.0 : jin hum
1.0 : loping lopping
1.0 : loping looping
0.81 : garnish tarnish
1.0 : piasavas piassavas
0.85 : hammers yammers
0.85 : hammers mammers
1.0 : raspier rasper
0.81 : gabbled babbled
1.0 : perter petter
1.0 : perter peter
0.83 : dorms corms
1.0 : tafia taffia
1.0 : loopy loppy
1.0 : loops lops
1.0 : candour candor
0.87 : store stood
0.87 : store arris
0.81 : fidged ridged
0.83 : cobras dobras
0.81 : barter garter
0.89 : sorites worries
0.85 : founding rounding
1.0 : wrote wore
0.87 : wrote wood
1.0 : wrote woe
0.89 : wrote sore
1.0 : withing writhing
0.81 : barbless garbless
0.8 : mantic mantid
0.81 : goyish toyish
1.0 : burrier burier
0.85 : chlorite chlorid
0.81 : fogyish fogyism
0.81 : shire white
1.0 : halloing haloing
1.0 : charrier charier
1.0 : prorate priorate
1.0 : pyrone prone
1.0 : lone longe
0.8 : nick nidi
0.9 : spiers wipers
1.0 : spiers speers
0.81 : barbing garbing
1.0 : staled stalled
1.0 : decoloring decolouring
1.0 : suety surety
0.83 : chose dose
1.0 : winkles wrinkles
1.0 : avgases avgasses
1.0 : salties saltires
1.0 : winkled wrinkled
0.85 : hards yards
1.0 : piassava piasava
1.0 : froe frore
1.0 : sidewalks sidewalls
0.87 : gled toted
0.87 : gled toyed
0.81 : gled bled
0.87 : gled tooted
1.0 : calks calfs
0.89 : calks calx
1.0 : calks calls
0.8 : chaos chalks
1.0 : kamsins khamsins
0.87 : widdling sidling
0.81 : bashed gashed
0.81 : bashes gashes
0.81 : basher gasher
0.87 : ole old
1.0 : dadas teeter
1.0 : dadas tetter
0.81 : whirry shirty
0.81 : whirrs shirrs
0.81 : why shy
0.85 : married harried
0.81 : jot jog
1.0 : joy hit
0.87 : joe his
1.0 : jotty guyer
1.0 : ladled lalled
1.0 : porting prying
1.0 : porting poring
1.0 : jereeds jerreeds
0.87 : cameo camel
0.81 : tuyer etas
1.0 : carried caried
1.0 : carries caries
1.0 : outset outsert
1.0 : spiral sporal
0.83 : dourines chorines
1.0 : maroon marron
0.83 : conations donations
1.0 : sass pop
1.0 : sass ewe
0.81 : figs rigs
0.81 : basifying gasifying
0.81 : gallies tallies
1.0 : tether teether
1.0 : remet remeet
1.0 : camasses camases
0.81 : gaming taming
0.87 : wins sins
0.87 : wink sink
1.0 : keeps keps
0.87 : wing sing
0.87 : wine singe
0.87 : wine sine
0.89 : woods sods
1.0 : rumour rumor
0.89 : bowls bowwow
1.0 : potions putons
1.0 : potions pitons
0.81 : shopper whopper
0.81 : shopper whooper
0.81 : shopped whooped
0.81 : shopped whopped
0.83 : coursers dorsers
0.85 : hays mays
1.0 : sliped slipped
0.81 : gloaters bloaters
1.0 : antitrust antirust
1.0 : grove groove
1.0 : kolhozes kolkhozes
1.0 : dolors dolours
0.83 : dolors colors
1.0 : harbors harbours
0.87 : score axis
0.87 : chile child
1.0 : erst wear
1.0 : pedestaling pedestalling
0.81 : babies gabies
1.0 : subpoena subpena
0.83 : cottier dottier
0.83 : cottier dotier
0.89 : calfs calx
1.0 : calfs calls
0.83 : collying dollying
1.0 : compting computing
1.0 : griper gripier
1.0 : pest prest
1.0 : priorates prorates
0.81 : glisters blisters
1.0 : dottel dottrel
0.83 : dotter cotter
1.0 : insetting inserting
1.0 : spirting sporting
1.0 : spirting spring
1.0 : spirting spiring
1.0 : spirting spurring
0.81 : if yew
0.81 : if out
1.0 : if ta
0.89 : solver wolver
0.81 : rilles filles
1.0 : steaks streaks
1.0 : fruiters friers
1.0 : dato datto
1.0 : ratoons rattons
1.0 : ratoons rations
0.85 : matches hatches
0.85 : matcher hatcher
0.85 : matched hatched
1.0 : compotes computes
1.0 : canvas canvass
0.8 : focalises vocalises
0.81 : gaff baff
0.8 : focalised vocalised
1.0 : scorers scoters
0.85 : yarrow harrow
1.0 : subbasses subbases
0.81 : future stretta
0.81 : tasted gasted
1.0 : farting faring
0.85 : robs diva
0.85 : robs fobs
1.0 : hooped hoped
1.0 : hooped hopped
1.0 : hooper hoper
1.0 : hooper hopper
1.0 : raged ragged
1.0 : peaklike pealike
1.0 : rivalled rivaled
1.0 : ante antre
1.0 : sonnetted sonneted
0.81 : gamest tamest
0.89 : brow brios
0.89 : brow broos
1.0 : broo brio
1.0 : spiraling spiralling
0.81 : glistered blistered
1.0 : berry beery
1.0 : cheery cherry
0.83 : domic comic
1.0 : morons morions
0.85 : clam clash
0.85 : clay clash
1.0 : contingent continent
1.0 : ration ratoon
1.0 : ration ratton
1.0 : ratios ratos
1.0 : partied parried
1.0 : parties parries
1.0 : parties paries
0.81 : bakings gaskings
0.81 : torse gorse
0.87 : torsk torsi
1.0 : ae hi
1.0 : ae jo
1.0 : ad et
1.0 : ad add
0.89 : ai ask
0.89 : ai wo
0.89 : ai woo
1.0 : ai so
0.85 : am ash
0.85 : am tip
0.85 : am tup
0.85 : am aah
0.85 : am ah
0.85 : am top
1.0 : an el
0.87 : an rip
1.0 : as wee
1.0 : as er
1.0 : as ass
1.0 : as op
1.0 : as err
1.0 : as aas
1.0 : as we
1.0 : ar ho
0.81 : at too
1.0 : at go
0.81 : at shh
0.81 : at sh
0.81 : at yup
0.81 : at to
0.81 : at yip
0.81 : at wry
0.85 : ay ash
0.85 : ay tip
0.85 : ay tup
0.85 : ay aah
0.8 : ay xu
0.85 : ay ah
0.85 : ay top
0.81 : whiners shiners
1.0 : balers ballers
1.0 : cassaba casaba
1.0 : labor labour
0.83 : dories corries
1.0 : worrited worried
0.83 : dozier cozier
0.83 : dovens covens
1.0 : spoilt spilt
1.0 : walling waling
0.81 : lout kif
1.0 : lout jute
0.81 : lout log
1.0 : lout lot
0.85 : hauling mauling
0.87 : sinning winning
1.0 : mouthers mothers
1.0 : pelitic pyelitic
0.81 : bendy bench
1.0 : lute lure
1.0 : slipper slippier
0.81 : erupted duped
0.81 : erupted dupped
1.0 : lippier lipper
0.81 : tamenesses gamenesses
0.81 : fights rights
0.87 : jager nagger
1.0 : jager jagger
1.0 : equaled equalled
1.0 : caulks cauls
1.0 : caulks caulds
1.0 : covet covert
0.83 : coves doves
0.83 : coven doven
1.0 : metaling metalling
1.0 : tumors tumours
1.0 : ser kop
1.0 : ser awee
1.0 : ser awe
1.0 : ser seer
1.0 : sex hum
1.0 : sec hun
1.0 : sec gym
0.87 : sel drop
0.87 : sel drip
0.89 : hollow hollos
1.0 : courantos corantos
0.81 : bloops glops
1.0 : ferrites ferries
0.83 : doat coat
1.0 : teeter tetter
1.0 : sima dons
0.83 : sima cons
0.87 : sima eons
1.0 : ardours ardors
0.87 : sighs weighs
0.87 : sight weight
0.87 : sight wright
0.87 : sight wight
1.0 : garotted garrotted
0.81 : fidge ridge
0.89 : woeness soreness
1.0 : ampoules ampules
0.87 : sides wides
1.0 : caroch carroch
1.0 : pallier palier
0.85 : mackles hackles
0.85 : mackled hackled
0.87 : sirs weirs
1.0 : pally paly
0.8 : vocalize focalize
1.0 : pussley pusley
1.0 : haloed halloed
0.85 : mammer hammer
1.0 : rods roods
0.81 : garb barb
0.83 : kist loch
1.0 : sayids sayyids
1.0 : favours favors
1.0 : pined pinged
1.0 : steek streek
1.0 : steep step
1.0 : steep strep
1.0 : hope hoopoe
1.0 : bryonies brionies
1.0 : hajis hadjis
